code,name,brand,longitude,latitude
0000000943,松屋 妙典店,松屋,139.925934,35.692165
0000000944,松屋 播磨町店,松屋,134.868240,34.723808
0000000945,松屋 東大和市駅前店,松屋,139.433685,35.734512
0000000946,松屋 堀切菖蒲園店,松屋,139.826706,35.747265
0000000947,松屋 板橋店,松屋,139.719437,35.747177
0000000952,松屋 淀屋橋店,松屋,135.503128,34.692078
0000000954,松屋 姪浜店（松のや併設）,松屋,130.322540,33.581188
0000000955,松屋 住道店,松屋,135.621567,34.708744
0000000956,松屋 小岩店,松屋,139.880875,35.733971
0000000957,松屋 肥後橋店,松屋,135.496506,34.691578
0000000958,松屋 吹上店,松屋,139.449768,36.110359
0000000959,松屋 武蔵浦和店（マイカリー食堂併設）,松屋,139.646011,35.844322
0000000960,松屋 新座馬場店,松屋,139.574234,35.784260
0000000962,松屋 郡山駅前店,松屋,140.387253,37.398232
0000000963,松屋 神戸三田駅前町店,松屋,135.233841,34.886177
0000000964,松屋 中山店,松屋,139.539032,35.513042
0000000966,松屋 深大寺3丁目店,松屋,139.537643,35.689346
0000000967,松屋 鷺沼店,松屋,139.573151,35.578003
0000000968,松屋 箕面店（マイカリー食堂併設）,松屋,135.458160,34.813271
0000000969,松屋 本所吾妻橋店,松屋,139.804611,35.709038
0000000972,松屋 東新宿店,松屋,139.706818,35.695518
0000000973,松屋 前橋三河町店,松屋,139.081100,36.385082
0000000975,松屋 北本店,松屋,139.527420,36.052490
0000000976,松屋 塩尻店 (松のや併設),松屋,137.958221,36.119106
0000000977,松屋 小松川店,松屋,139.848709,35.699169
0000000978,松屋 大宮南中丸店（松のや併設）,松屋,139.651855,35.916546
0000000979,松屋 新大阪東口店,松屋,135.502792,34.733948
0000000980,松屋 川島店（松のや併設）,松屋,139.466156,35.978947
0000000982,松屋 日野神明店（松のや併設）,松屋,139.394257,35.668430
0000000984,松屋 牛田店,松屋,139.811371,35.744389
0000000985,松屋 久留米通町店,松屋,130.510681,33.318432
0000000986,松屋 里塚店,松屋,141.465286,42.980930
0000000987,松屋 岸里店,松屋,135.493942,34.635220
0000000988,松屋 鳥飼店,松屋,135.585007,34.776760
0000000989,松屋 佐原店,松屋,140.493225,35.899761
0000000990,松屋 東大阪川田店 (松のや併設),松屋,135.617538,34.691708
0000000991,松屋 北野店,松屋,139.353775,35.645424
0000000992,松屋 上溝店（松のや併設）,松屋,139.355515,35.557529
0000000993,松屋 諏訪店,松屋,138.123627,36.018898
0000000995,松屋 浜寺店（松のや併設）,松屋,135.456497,34.542931
0000000996,松屋 梅屋敷店（松のや併設 弁当専門店）,松屋,139.724884,35.567924
0000000997,松屋 都立家政店,松屋,139.643814,35.723469
0000000998,松屋 九品仏店（松のや併設 弁当専門店）,松屋,139.661530,35.605007
0000000999,松屋 所沢上安松店,松屋,139.492905,35.790344
0000001004,松屋 巣鴨店（マイカリー食堂併設）,松屋,139.739487,35.733791
0000001008,松屋 荻窪西口店,松屋,139.619232,35.705299
0000001013,松屋 亀有店,松屋,139.847000,35.766270
0000001107,松屋 西宮名塩SA店,松屋,135.291214,34.840046
0000001109,松屋 岸和田SA（下り線）店,松屋,135.442642,34.410706
0000001202,松のや 西新宿店,松のや,139.698929,35.694458
0000001203,松のや 津田沼南口店 （マイカリー食堂併設）,松のや,140.019516,35.691444
0000001207,松のや 仙台中央店 ※2月24日0時より一時閉店、2月27日15時オープン,松のや,140.879593,38.260025
0000001208,松のや 川口店 ※3月2日0時より一時閉店、3月3日15時オープン,松のや,139.718155,35.801834
0000001209,松のや 町田店,松のや,139.447922,35.541866
0000001213,松のや 練馬店,松のや,139.653580,35.737133
0000001214,松のや 三鷹店,松のや,139.561127,35.703331
0000001215,松のや 大宮店,松のや,139.625198,35.908249
0000001216,松のや 川崎銀座街店,松のや,139.700943,35.531155
0000001219,松のや 中野店,松のや,139.665100,35.709526
0000001220,松のや 松戸店,松のや,139.899124,35.784428
0000001221,松のや 幕張本郷店（マイカリー食堂併設）,松のや,140.040771,35.672615
0000001224,松のや 綾瀬店,松のや,139.823883,35.762310
0000001225,松のや 朝霞台店（マイカリー食堂併設）,松のや,139.587830,35.815441
0000001226,松のや ひばりが丘店（マイカリー食堂併設）,松のや,139.544647,35.752312
0000001228,松のや 天王町店,松のや,139.603745,35.454308
0000001231,松のや 錦糸町店,松のや,139.814331,35.695187
0000001232,松のや 下赤塚店,松のや,139.644318,35.769947
0000001233,松のや 野方店（マイカリー食堂併設）,松のや,139.653000,35.718704
0000001234,松のや 千歳烏山店,松のや,139.602066,35.667278
0000001235,松のや 蕨店 ※3月9日0時より一時閉店、3月10日15時オープン,松のや,139.691483,35.827259
0000001236,松のや 新秋津店,松のや,139.494141,35.777744
0000001237,松のや 菊名店,松のや,139.631790,35.510059
0000001239,松のや 千歳船橋店,松のや,139.624237,35.647713
0000001240,松のや 用賀店,松のや,139.635086,35.627098
0000001242,松のや 勝どき店,松のや,139.775177,35.657402
0000001244,松のや 赤羽店,松のや,139.720749,35.779427
0000001246,松のや 武蔵新城店,松のや,139.629486,35.586849
0000001248,松のや なんさん通り店,松のや,135.503876,34.663250
0000001249,松のや 本蓮沼店,松のや,139.702591,35.768745
0000001250,松のや 茅ヶ崎店（マイカリー食堂併設）,松のや,139.405060,35.330544
0000001251,松のや 下永谷店,松のや,139.560028,35.413025
0000001253,松のや 行徳店（マイカリー食堂併設）,松のや,139.913864,35.682850
0000001254,松のや 武蔵新田店,松のや,139.691940,35.567879
0000001255,松のや 武蔵境店,松のや,139.544083,35.704041
0000001256,松のや 平井店（マイカリー食堂併設）,松のや,139.841843,35.706722
0000001257,松のや 板橋区役所前店,松のや,139.709732,35.751144
0000001258,松のや 上田店 （マイカリー食堂併設）,松のや,138.268478,36.382912
0000001259,松のや 梅田店,松のや,135.500824,34.703560
0000001260,松のや 東新宿店,松のや,139.707535,35.700871
0000001264,松のや 瓢箪山店,松のや,135.634644,34.659828
0000001266,松屋 防府店（松のや併設）,松屋,131.579666,34.055946
0000001267,松のや 石橋店,松のや,135.444855,34.807880
0000001268,松のや 野毛店（マイカリー食堂併設）,松のや,139.628723,35.448391
0000001269,松のや 堂島店,松のや,135.495132,34.696541
0000001270,松のや 新橋店,松のや,139.755051,35.667831
0000001272,松のや 南行徳店,松のや,139.901566,35.673199
0000001273,松のや 本厚木店（マイカリー食堂併設） ※2月24日0時より一時閉店、2月25日15時オープン,松のや,139.364792,35.441109
0000001274,松のや 中野新橋店,松のや,139.674332,35.691841
0000001275,松のや 南森町店 （マイカリー食堂併設）,松のや,135.512466,34.697201
0000001277,松のや 今福鶴見店,松のや,135.560638,34.702187
0000001278,松のや 方南町店,松のや,139.658585,35.683739
